start,end,speaker
12.39,14.35,SPEAKER_01
14.98,16.83,SPEAKER_01
16.83,16.87,SPEAKER_00
17.67,18.84,SPEAKER_00
19.35,20.81,SPEAKER_00
21.6,24.85,SPEAKER_00
26.14,29.96,SPEAKER_00
30.74,33.06,SPEAKER_00
34.1,37.31,SPEAKER_00
38.29,40.38,SPEAKER_00
41.16,42.83,SPEAKER_00
43.64,44.27,SPEAKER_00
45.68,46.51,SPEAKER_00
47.68,50.42,SPEAKER_00
51.06,53.0,SPEAKER_00
53.9,57.0,SPEAKER_00
57.84,60.45,SPEAKER_00
60.99,64.34,SPEAKER_00
64.93,67.63,SPEAKER_00
68.4,69.01,SPEAKER_00
69.01,69.02,SPEAKER_01
69.87,69.97,SPEAKER_01
69.97,69.99,SPEAKER_00
69.99,71.57,SPEAKER_01
72.5,75.85,SPEAKER_01
76.58,77.92,SPEAKER_01
78.53,81.03,SPEAKER_01
81.03,81.06,SPEAKER_00
81.98,83.95,SPEAKER_00
84.69,86.49,SPEAKER_00
87.55,90.82,SPEAKER_00
91.66,96.54,SPEAKER_00
97.68,98.21,SPEAKER_00
99.53,100.09,SPEAKER_00
100.09,100.11,SPEAKER_01
100.11,100.84,SPEAKER_00
101.76,103.44,SPEAKER_01
104.86,107.48,SPEAKER_01
108.16,109.91,SPEAKER_01
114.2,116.21,SPEAKER_00
117.07,119.4,SPEAKER_00
120.18,121.83,SPEAKER_01
122.96,127.07,SPEAKER_01
